gsis_player_id,rookie_season,player_name,position,draft_season,draft_round,draft_overall_selection,scrambles,qb_pressures,qb_pressure_to_sack_rate,inside_runs,outside_runs,change_of_direction_runs,designed_qb_runs,man_coverage_targets,zone_coverage_targets,pressures_allowed,pressures,pressure_rate,run_defense_tackles,primary_in_coverage_total,man_coverage_responsibility_total,primary_in_coverage_yards_allowed,total_snaps,passing_attempts,passing_dropbacks,passing_completions,passing_completion_percentage,passing_yards,passing_touchdowns,passing_sacks,passing_interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_yards_per_route_run,receiving_touchdowns,receiving_yards_after_catch,defense_interceptions,defense_pass_breakups
196601,2020,Khalil Davis,DT,2020,6.0,194.0,,,,,,,,,,,2.0,0.083333333,2.0,,,,41,,,,,,,,,,,,,,,,,,,
305707,2024,Dallas Gant,IB,2024,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
316846,2023,Moro Ojomo,DT,2023,7.0,249.0,,,,,,,,,,,1.0,0.026315789,3.0,,,,84,,,,,,,,,,,,,,,,,,,
196251,2020,Alex Highsmith,DE,2020,3.0,102.0,,,,,,,,,,,24.0,0.1176470588235294,32.0,10.0,3.0,60.0,701,,,,,,,,,,,,,,,,,,1.0,1.0
282907,2022,Samori Toure,WR,2022,7.0,258.0,,,,,,,,1.0,8.0,,,,,,,,114,,,,,,,,,,,,10.0,5.0,82.0,1.108108108108108,1.0,11.0,,
304601,2022,James Houston,IB,2022,6.0,217.0,,,,,,,,,,,16.0,0.1777777777777777,1.0,,2.0,,211,,,,,,,,,,,,,,,,,,,
279737,2020,John Penisini,DT,2020,6.0,197.0,,,,,,,,,,,1.0,0.004081633,28.0,,,,583,,,,,,,,,,,,,,,,,,,
325360,2024,Caedan Wallace,OG,2024,3.0,68.0,,,,,,,,,,5.0,,,,,,,145,,,,,,,,,,,,,,,,,,,
259451,2020,Parnell Motley,DC,2020,,,,,,,,,,,,,,,3.0,11.0,15.0,118.0,104,,,,,,,,,,,,,,,,,,,1.0
324695,2024,Darius Muasau,IB,2024,6.0,183.0,,,,,,,,,,,2.0,0.090909091,36.0,14.0,43.0,110.0,683,,,,,,,,,,,,,,,,,,1.0,1.0
283380,2022,Brock Hoffman,OC,2022,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
308621,2023,Starling Thomas,DC,2023,,,,,,,,,,,,,,,9.0,42.0,68.0,368.0,541,,,,,,,,,,,,,,,,,,,5.0
280246,2022,Nephi Sewell,IB,2022,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,
307301,2023,Kearis Jackson,WR,2023,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
279802,2022,Xavier Newman-Johnson,OG,2022,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
305682,2022,Kyle Philips,WR,2022,5.0,163.0,,,,,,,,3.0,6.0,,,,,,,,71,,,,,,,,,,,,13.0,8.0,78.0,1.902439024390244,,21.0,,
300374,2023,Xazavian Valladay,RB,2023,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
